,popularity,acousticness,danceability,duration_min,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1.0,-0.3502,0.2085,0.0193,0.2259,-0.1485,-0.1565,0.314,-0.1496,0.0741,0.0302
acousticness,-0.3502,1.0,-0.3842,0.0116,-0.7294,0.3162,0.077,-0.6953,0.1648,-0.2567,-0.3504
danceability,0.2085,-0.3842,1.0,-0.121,0.3622,-0.372,-0.0322,0.4571,0.1346,0.0491,0.5791
duration_min,0.0193,0.0116,-0.121,1.0,-0.0226,0.0555,0.0398,-0.0276,0.003,-0.0259,-0.1404
energy,0.2259,-0.7294,0.3622,-0.0226,1.0,-0.3936,0.2119,0.8227,0.1662,0.2447,0.4455
instrumentalness,-0.1485,0.3162,-0.372,0.0555,-0.3936,1.0,-0.1636,-0.4971,-0.1907,-0.1103,-0.3222
liveness,-0.1565,0.077,-0.0322,0.0398,0.2119,-0.1636,1.0,0.0592,0.5425,-0.0553,0.0109
loudness,0.314,-0.6953,0.4571,-0.0276,0.8227,-0.4971,0.0592,1.0,0.0036,0.2443,0.4211
speechiness,-0.1496,0.1648,0.1346,0.003,0.1662,-0.1907,0.5425,0.0036,1.0,-0.0938,0.0169
tempo,0.0741,-0.2567,0.0491,-0.0259,0.2447,-0.1103,-0.0553,0.2443,-0.0938,1.0,0.1634
valence,0.0302,-0.3504,0.5791,-0.1404,0.4455,-0.3222,0.0109,0.4211,0.0169,0.1634,1.0
